Matricula 30621: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 30623: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30642: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30652: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30673: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado | Desligamento comunicado até dia 15
Matricula 30685: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30707: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30708: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30719: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30736: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30739: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30741: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30751: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30770: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30791: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30800: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30806: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30852: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30855: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30856: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30859: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30861: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30864: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30867: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado
Matricula 30870: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30875: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30876: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 30896: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 30997: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31003: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31007: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 31009: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31010: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31012: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31019: dias=0, valor_diario=0.0, total=0.0 (reason=no_valor_found) obs=Sem dias úteis no período | Valor unitário do sindicato/estado não encontrado | Desligamento comunicado até dia 15
Matricula 31022: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 31030: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31033: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 31035: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31056: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 31061: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 31071: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31077: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31085: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31086: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
